,Vehicle_ID,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Class,v_Vel,v_Acc,Preceding,Space_Headway,Time_Headway,Location,Relative_Time,Preceding_Vehicle_Class,Rear_to_Front_Space_Headway,v_Class_Name,Vehicle_combination
21117,242,1118847037000,14.213,46.347,6451146.646,1873338.311,5.486400000000001,2,10.668,0.0,234,14.21892,1.33,us-101,1117684017901,Car,9.951720000000002,Car,Car-Car
21168,250,1118847056100,21.741,743.545,6451646.774,1872850.378,4.8768,2,13.600176,-1.2923520000000002,242,14.212824,1.05,us-101,1117684037001,Car,9.183624000000002,Car,Car-Car
21413,242,1118848957500,53.65,2189.801,6452696.765,1871901.797,4.572,2,13.371576,0.0,0,0.0,0.0,us-101,1117685938401,,,Car,
22143,242,1118848018100,55.867,2125.43,6452639.887,1871944.169,5.0292,2,13.712952,-0.057912,0,0.0,0.0,us-101,1117684999001,,,Car,
23035,250,1118847052400,23.038,575.896,6451520.092,1872960.569,4.8768,2,14.185392,1.694688,242,12.432792,0.88,us-101,1117684033301,Car,7.403592000000001,Car,Car-Car
26315,242,1118847988200,66.54,598.703,6451478.082,1872939.779,5.0292,2,16.849344000000002,1.776984,0,0.0,0.0,us-101,1117684969101,,,Car,
27743,248,1118848902200,51.678,995.193,6451790.273,1872684.733,5.0292,2,9.153144,0.085344,242,17.239488,1.88,us-101,1117685883101,Car,12.210288000000002,Car,Car-Car
29693,248,1118848926200,54.257,1395.872,6452090.448,1872419.352,5.0292,2,2.538984,-2.493264,242,9.893808,3.9,us-101,1117685907101,Car,4.864608,Car,Car-Car
30707,242,1118847059800,18.057,946.333,6451801.711,1872719.338,5.486400000000001,2,11.56716,-0.8747760000000001,234,28.721304000000003,2.48,us-101,1117684040701,Car,24.454104000000005,Car,Car-Car
31551,242,1118847046700,17.976,373.807,6451373.866,1873100.529,5.486400000000001,2,12.16152,0.603504,234,37.325808,3.07,us-101,1117684027601,Car,33.058608,Car,Car-Car
32276,246,1118848005800,54.621,1501.294,6452165.245,1872353.521,4.4196,2,13.73124,0.530352,242,24.8412,1.81,us-101,1117684986701,Car,19.812,Car,Car-Car
32507,248,1118848897000,51.417,829.091,6451665.289,1872794.615,5.0292,2,10.960608,1.63068,242,18.18132,1.66,us-101,1117685877901,Car,13.15212,Car,Car-Car
33549,248,1118848914200,51.673,1177.898,6451928.023,1872564.791,5.0292,2,6.096,0.0,242,17.108424000000003,2.81,us-101,1117685895101,Car,12.079224000000004,Car,Car-Car
34698,242,1118848894700,55.35,799.083,6451640.215,1872811.412,4.572,2,12.54252,-1.85928,2000,13.691616000000002,1.09,us-101,1117685875601,Car,8.662416,Car,Car-Car
35194,242,1118848006000,53.943,1591.576,6452233.695,1872294.259,5.0292,2,13.594080000000002,2.008632,239,28.733496,2.11,us-101,1117684986901,Car,23.704296,Car,Car-Car
35729,250,1118847038700,17.46,62.904,6451155.295,1873323.827,4.8768,2,10.677144,0.042672,242,12.405360000000002,1.16,us-101,1117684019601,Car,7.376160000000001,Car,Car-Car
41133,248,1118848951500,53.102,1841.468,6452426.635,1872126.969,5.0292,2,12.103608,0.353568,242,25.377648000000004,2.1,us-101,1117685932401,Car,20.348448000000005,Car,Car-Car
42102,248,1118848945800,54.38,1657.298,6452287.322,1872247.196,5.0292,2,7.638288,0.173736,242,19.988784,2.62,us-101,1117685926701,Car,14.959584,Car,Car-Car
43348,242,1118847065900,20.332,1155.573,6451957.993,1872580.248,5.486400000000001,2,10.963656,0.277368,234,35.771328000000004,3.26,us-101,1117684046801,Car,31.504128000000005,Car,Car-Car
47550,242,1118847991500,64.015,780.067,6451616.054,1872821.093,5.0292,2,16.764,0.0,239,20.394168,1.22,us-101,1117684972401,Car,15.364968,Car,Car-Car
51422,246,1118848002300,54.333,1330.186,6452036.593,1872466.196,4.4196,2,16.471392,-2.04216,242,26.865072,1.63,us-101,1117684983201,Car,21.835872,Car,Car-Car
51857,242,1118847047900,19.004,421.816,6451408.458,1873067.252,5.486400000000001,2,12.188952,0.0,234,40.989504,3.36,us-101,1117684028801,Car,36.722304,Car,Car-Car
53534,242,1118848897800,52.182,916.498,6451730.419,1872736.303,4.572,2,10.677144,-0.070104,2000,13.926312,1.3,us-101,1117685878701,Car,8.897112,Car,Car-Car
54649,248,1118848906500,51.541,1091.896,6451863.264,1872621.38,5.0292,2,4.578096,0.0762,242,12.807696000000002,2.8,us-101,1117685887401,Car,7.778496000000001,Car,Car-Car
54778,242,1118847040400,14.737,154.599,6451219.574,1873257.975,5.486400000000001,2,9.131808,-0.10668,234,19.479768,2.13,us-101,1117684021301,Car,15.212568,Car,Car-Car
55304,242,1118847994200,62.953,931.323,6451730.304,1872722.059,5.0292,2,17.836896000000003,-1.322832,239,21.576792000000005,1.21,us-101,1117684975101,Car,16.547592000000005,Car,Car-Car
56765,242,1118847043200,16.065,247.972,6451284.014,1873189.274,5.486400000000001,2,9.729216,3.151632,234,26.292048,2.7,us-101,1117684024101,Car,22.024848,Car,Car-Car
58558,248,1118848932400,54.347,1427.993,6452114.635,1872398.186,5.0292,2,1.55448,0.621792,242,16.328136,10.5,us-101,1117685913301,Car,11.298936,Car,Car-Car
58692,242,1118847063700,19.826,1084.768,6451904.932,1872627.142,5.486400000000001,2,10.003536,-1.2893040000000002,234,29.251656,2.92,us-101,1117684044601,Car,24.984456,Car,Car-Car
59216,242,1118847063200,19.398,1067.458,6451892.154,1872638.842,5.486400000000001,2,10.960608,-0.347472,234,28.413456,2.59,us-101,1117684044101,Car,24.146256,Car,Car-Car
61899,246,1118848004000,54.538,1416.021,6452101.307,1872409.53,4.4196,2,15.249144,0.018288,242,26.145744,1.71,us-101,1117684984901,Car,21.116544,Car,Car-Car
63284,242,1118847995700,62.876,1019.778,6451797.342,1872663.75,5.0292,2,17.894808,0.402336,239,23.646384,1.32,us-101,1117684976601,Car,18.617184,Car,Car-Car
64083,248,1118848910200,51.587,1121.9,6451885.854,1872601.64,5.0292,2,1.517904,-0.0762,242,12.045696,7.94,us-101,1117685891101,Car,7.016496000000001,Car,Car-Car
69005,242,1118848901700,52.054,1041.462,6451824.897,1872654.122,4.572,2,6.272784,0.0,2000,15.224760000000002,2.43,us-101,1117685882601,Car,10.19556,Car,Car-Car
71025,242,1118848935900,52.817,1524.19,6452187.734,1872336.145,4.572,2,3.71856,0.06096,2000,22.134576000000003,5.95,us-101,1117685916801,Car,17.105376000000003,Car,Car-Car
73177,242,1118848005700,53.969,1578.324,6452223.494,1872303.16,5.0292,2,13.65504,-0.920496,239,28.187904000000003,2.06,us-101,1117684986601,Car,23.158704000000004,Car,Car-Car
74563,242,1118848930800,52.308,1463.967,6452142.86,1872376.288,4.572,2,3.0967680000000004,2.1336,2000,17.056608,5.51,us-101,1117685911701,Car,12.027408,Car,Car-Car
75013,246,1118848014500,53.298,1880.578,6452451.864,1872104.726,4.4196,2,13.094208,-0.877824,242,26.2128,2.0,us-101,1117684995401,Car,21.1836,Car,Car-Car
75458,242,1118848014000,55.164,1943.963,6452499.118,1872061.309,5.0292,2,14.075664000000002,-1.441704,239,41.016936,2.91,us-101,1117684994901,Car,35.987736,Car,Car-Car
75664,242,1118847073700,20.409,1456.97,6452184.785,1872381.897,5.486400000000001,2,13.719048,-0.039624,234,61.237368,4.46,us-101,1117684054601,Car,56.970168,Car,Car-Car
76391,242,1118847997600,56.241,1136.768,6451889.852,1872591.985,5.0292,2,18.641568,-0.5455920000000001,239,25.395936,1.36,us-101,1117684978501,Car,20.366736,Car,Car-Car
76618,242,1118848914800,51.14,1246.344,6451979.779,1872520.223,4.572,2,6.336792,0.036576,2000,24.301704,3.83,us-101,1117685895701,Car,19.272504,Car,Car-Car
78034,242,1118847052200,19.585,607.69,6451546.114,1872941.929,5.486400000000001,2,13.712952,0.021336,234,47.295816,3.45,us-101,1117684033101,Car,43.028616,Car,Car-Car
78276,248,1118848955500,52.485,2004.029,6452550.794,1872020.992,5.0292,2,11.939016,-3.2918400000000005,242,28.913328,2.42,us-101,1117685936401,Car,23.884128,Car,Car-Car
79096,242,1118848952100,52.147,1949.458,6452509.403,1872056.541,4.572,2,12.143232,-0.536448,2000,46.942248,3.87,us-101,1117685933001,Car,41.913048,Car,Car-Car
80259,242,1118847996700,59.755,1080.955,6451845.465,1872625.991,5.0292,2,19.056096,0.009144,237,43.808904,2.3,us-101,1117684977601,Car,37.662104,Car,Car-Car
80755,242,1118848914300,51.036,1236.055,6451972.109,1872527.083,4.572,2,6.184392,0.192024,2000,24.015192000000003,3.88,us-101,1117685895201,Car,18.985992000000003,Car,Car-Car
80915,250,1118847077000,22.768,1576.483,6452273.252,1872301.228,4.8768,2,15.075408,-2.008632,242,9.79932,0.65,us-101,1117684057901,Car,4.77012,Car,Car-Car
82694,248,1118848947300,53.196,1700.158,6452319.697,1872220.422,5.0292,2,9.144,0.0,242,20.692872,2.26,us-101,1117685928201,Car,15.663672000000002,Car,Car-Car
87610,242,1118847077900,21.335,1651.507,6452330.786,1872253.253,5.486400000000001,2,15.175992,1.4935200000000002,234,80.537304,5.31,us-101,1117684058801,Car,76.270104,Car,Car-Car
91249,248,1118848953300,53.446,1914.871,6452481.737,1872078.501,5.0292,2,13.493496000000002,-1.362456,242,26.282904,1.95,us-101,1117685934201,Car,21.253704000000003,Car,Car-Car
94412,248,1118848925800,54.227,1392.015,6452087.556,1872421.908,5.0292,2,3.057144,0.021336,242,10.195560000000002,3.33,us-101,1117685906701,Car,5.166360000000002,Car,Car-Car
100249,242,1118848895200,54.477,819.018,6451655.717,1872798.96,4.572,2,12.176760000000002,1.0332720000000002,2000,14.014704,1.15,us-101,1117685876101,Car,8.985503999999999,Car,Car-Car
102188,242,1118848928300,52.289,1443.782,6452127.883,1872389.387,4.572,2,2.386584,0.0,2000,13.536168,5.67,us-101,1117685909201,Car,8.506968,Car,Car-Car
103468,242,1118848921500,52.687,1380.02,6452079.518,1872430.943,4.572,2,4.562856,0.018288,2000,15.389352,3.37,us-101,1117685902401,Car,10.360152,Car,Car-Car
104006,248,1118848915800,51.685,1210.047,6451952.119,1872543.735,5.0292,2,6.096,0.0,242,17.401032,2.85,us-101,1117685896701,Car,12.371832,Car,Car-Car
104820,242,1118847051700,19.868,585.138,6451529.118,1872956.749,5.486400000000001,2,13.88364,-0.6096,234,46.7868,3.37,us-101,1117684032601,Car,42.5196,Car,Car-Car
104831,242,1118847062300,18.636,1035.289,6451868.41,1872660.536,5.486400000000001,2,10.616184,0.44196,234,27.496008,2.59,us-101,1117684043201,Car,23.228808,Car,Car-Car
105778,242,1118848907300,51.612,1139.396,6451899.033,1872590.126,4.572,2,1.517904,0.0762,2000,9.442704,6.22,us-101,1117685888201,Car,4.4135040000000005,Car,Car-Car
106646,242,1118848012000,53.743,1851.542,6452429.646,1872123.495,5.0292,2,13.76172,-1.130808,239,37.392864,2.72,us-101,1117684992901,Car,32.363664,Car,Car-Car
107762,242,1118847070000,20.065,1303.428,6452069.34,1872483.064,5.486400000000001,2,12.155424000000002,-0.35052,234,48.31689600000001,3.97,us-101,1117684050901,Car,44.049696,Car,Car-Car
108920,246,1118848002700,54.338,1351.052,6452052.39,1872452.359,4.4196,2,15.368016,-1.6581120000000005,242,26.785824,1.74,us-101,1117684983601,Car,21.756624,Car,Car-Car
111475,242,1118848933400,52.267,1492.551,6452164.365,1872357.43,4.572,2,3.3528,0.143256,2000,19.2786,5.75,us-101,1117685914301,Car,14.2494,Car,Car-Car
113071,246,1118848018200,56.158,2041.135,6452573.663,1871997.392,4.4196,2,12.234672000000002,1.932432,242,27.06624,2.21,us-101,1117684999101,Car,22.03704,Car,Car-Car
113493,248,1118848940700,54.268,1540.321,6452198.906,1872324.387,5.0292,2,4.855464,2.139696,242,17.858232,3.68,us-101,1117685921601,Car,12.829032000000002,Car,Car-Car
116563,242,1118847999200,56.26,1233.564,6451962.647,1872528.427,5.0292,2,18.278856,-0.057912,239,26.868120000000005,1.47,us-101,1117684980101,Car,21.838920000000005,Car,Car-Car
119072,242,1118848895500,54.302,831.138,6451664.927,1872791.091,4.572,2,12.362688000000002,0.249936,2000,13.984224,1.13,us-101,1117685876401,Car,8.955024000000002,Car,Car-Car
119198,248,1118848946600,53.393,1678.246,6452303.815,1872234.206,5.0292,2,9.12876,3.41376,242,20.979384,2.3,us-101,1117685927501,Car,15.950184,Car,Car-Car
120348,242,1118847081400,21.197,1839.411,6452472.277,1872129.517,5.486400000000001,2,17.559528,0.713232,0,0.0,0.0,us-101,1117684062301,,,Car,
124637,250,1118847084300,24.045,1989.724,6452585.335,1872029.309,4.8768,2,19.208496,1.237488,242,10.107168,0.53,us-101,1117684065201,Car,5.077967999999999,Car,Car-Car
126022,242,1118847079700,21.513,1745.495,6452401.127,1872190.622,5.486400000000001,2,16.5354,-1.331976,234,86.86800000000001,5.25,us-101,1117684060601,Car,82.6008,Car,Car-Car
126278,248,1118848943400,54.619,1596.648,6452241.338,1872286.74,5.0292,2,7.866888,0.057912,242,18.327624,2.33,us-101,1117685924301,Car,13.298424,Car,Car-Car
126920,248,1118848898100,51.139,868.987,6451695.443,1872768.459,5.0292,2,10.421112,-2.261616,242,17.684496000000003,1.7,us-101,1117685879001,Car,12.655296000000003,Car,Car-Car
130376,242,1118848957000,53.708,2167.85,6452678.69,1871916.021,4.572,2,14.0208,0.0,0,0.0,0.0,us-101,1117685937901,,,Car,
131140,250,1118847080200,21.857,1740.44,6452397.088,1872193.64,4.8768,2,16.760952000000003,1.00584,242,9.70788,0.58,us-101,1117684061101,Car,4.678680000000001,Car,Car-Car
132387,250,1118847059600,20.698,889.301,6451756.901,1872754.94,4.8768,2,12.198096,0.073152,242,15.051024000000002,1.23,us-101,1117684040501,Car,10.021824000000002,Car,Car-Car
134961,250,1118847083400,23.878,1933.008,6452541.67,1872066.241,4.8768,2,18.937224,-0.085344,242,9.69264,0.51,us-101,1117684064301,Car,4.6634400000000005,Car,Car-Car
135113,248,1118848927900,54.273,1405.512,6452097.71,1872413.012,5.0292,2,1.524,0.0,242,10.707624,7.03,us-101,1117685908801,Car,5.678424000000001,Car,Car-Car
135232,246,1118848009600,54.131,1671.807,6452294.285,1872241.49,4.4196,2,13.725144,0.024384,242,23.884128,1.74,us-101,1117684990501,Car,18.854928,Car,Car-Car
135235,250,1118847047800,19.638,380.493,6451377.641,1873094.79,4.8768,2,12.652248,-0.027432,242,11.375136,0.9,us-101,1117684028701,Car,6.345936000000001,Car,Car-Car
136861,242,1118848910400,51.632,1163.744,6451917.373,1872574.123,4.572,2,3.81,2.572512,2000,17.61744,4.62,us-101,1117685891301,Car,12.58824,Car,Car-Car
138590,246,1118848013200,53.347,1823.868,6452409.285,1872141.63,4.4196,2,13.07592,-1.85928,242,24.877776000000004,1.9,us-101,1117684994101,Car,19.848576000000005,Car,Car-Car
140365,242,1118847037500,14.123,63.847,6451158.409,1873325.354,5.486400000000001,2,10.668,0.0,234,13.987272,1.31,us-101,1117684018401,Car,9.720072000000002,Car,Car-Car
140857,246,1118848007700,54.456,1587.188,6452229.926,1872296.855,4.4196,2,13.496544000000002,-0.048768,242,23.673816,1.75,us-101,1117684988601,Car,18.644616000000003,Car,Car-Car
141251,242,1118847084600,24.469,2042.406,6452625.879,1871995.707,5.486400000000001,2,19.757136,-0.8351520000000001,0,0.0,0.0,us-101,1117684065501,,,Car,
142624,242,1118847074100,19.853,1474.96,6452198.658,1872370.436,5.486400000000001,2,13.712952,0.094488,234,62.54496,4.56,us-101,1117684055001,Car,58.27776,Car,Car-Car
146651,242,1118848924800,52.688,1418.327,6452108.408,1872405.804,4.572,2,2.1823680000000003,-0.5181600000000001,2000,10.887456,4.99,us-101,1117685905701,Car,5.858256,Car,Car-Car
148169,242,1118848922700,52.761,1397.476,6452092.658,1872419.411,4.572,2,4.041648,-1.984248,2000,12.972288,3.21,us-101,1117685903601,Car,7.943088,Car,Car-Car
148378,242,1118847043900,17.634,271.752,6451300.025,1873171.617,5.486400000000001,2,10.884408,1.664208,234,28.523184,2.62,us-101,1117684024801,Car,24.255984,Car,Car-Car
149453,248,1118848941000,54.273,1545.45,6452202.757,1872320.993,5.0292,2,5.4681120000000005,1.23444,242,18.214848,3.33,us-101,1117685921901,Car,13.185648,Car,Car-Car
150634,250,1118847043800,17.493,232.053,6451271.274,1873199.698,4.8768,2,10.168128,-2.176272,242,11.021568,1.08,us-101,1117684024701,Car,5.992368,Car,Car-Car
151464,248,1118848914800,51.691,1189.898,6451937.059,1872556.895,5.0292,2,6.096,0.0,242,17.20596,2.82,us-101,1117685895701,Car,12.176760000000002,Car,Car-Car
152271,242,1118847067700,20.715,1218.855,6452005.298,1872538.316,5.486400000000001,2,10.71372,1.530096,234,41.151048,3.84,us-101,1117684048601,Car,36.88384799999999,Car,Car-Car
152512,242,1118847057000,17.718,833.534,6451717.045,1872793.968,5.486400000000001,2,14.176248,-3.41376,234,35.942016,2.54,us-101,1117684037901,Car,31.674816000000003,Car,Car-Car
155517,246,1118847997300,50.735,1061.906,6451837.026,1872645.306,4.4196,2,16.764,-0.012192,242,17.196816000000002,1.03,us-101,1117684978201,Car,12.167616000000002,Car,Car-Car
155581,250,1118847059500,20.688,885.302,6451753.904,1872757.589,4.8768,2,12.192,0.0,242,15.063216,1.24,us-101,1117684040401,Car,10.034016,Car,Car-Car
161373,242,1118848012800,53.79,1887.457,6452456.707,1872099.854,5.0292,2,13.709904,-0.094488,239,39.057072,2.85,us-101,1117684993701,Car,34.027871999999995,Car,Car-Car
161658,242,1118848957100,53.679,2172.467,6452682.305,1871913.176,4.572,2,13.975080000000002,-0.7589520000000001,0,0.0,0.0,us-101,1117685938001,,,Car,
162723,248,1118848903000,51.6,1018.018,6451807.55,1872669.817,5.0292,2,8.24484,0.134112,242,15.300960000000002,1.86,us-101,1117685883901,Car,10.27176,Car,Car-Car
163549,242,1118847050800,19.571,544.032,6451498.667,1872984.381,5.486400000000001,2,13.725144,0.271272,234,46.076616,3.36,us-101,1117684031701,Car,41.809416,Car,Car-Car
164574,242,1118848938200,52.751,1556.297,6452211.907,1872314.973,4.572,2,4.572,0.0,2000,26.737056000000003,5.85,us-101,1117685919101,Car,21.707856000000003,Car,Car-Car
166476,250,1118847058500,20.592,845.3,6451723.934,1872784.081,4.8768,2,12.185904,0.082296,242,15.090648,1.24,us-101,1117684039401,Car,10.061448,Car,Car-Car
170743,242,1118847040600,14.813,160.577,6451223.583,1873253.553,5.486400000000001,2,9.247632,1.2893040000000002,234,20.064984,2.17,us-101,1117684021501,Car,15.797784,Car,Car-Car
171661,242,1118847057200,17.703,842.502,6451723.81,1872788.037,5.486400000000001,2,13.15212,-3.41376,234,35.176968,2.67,us-101,1117684038101,Car,30.909768000000003,Car,Car-Car
172971,242,1118847038700,14.116,103.605,6451185.294,1873295.737,5.486400000000001,2,9.131808,0.06096,234,14.944344,1.64,us-101,1117684019601,Car,10.677144000000002,Car,Car-Car
174214,248,1118848950400,52.983,1801.59,6452396.78,1872152.859,5.0292,2,10.668,0.0,242,23.923752,2.24,us-101,1117685931301,Car,18.894552,Car,Car-Car
174943,242,1118848953500,52.882,2009.743,6452555.154,1872016.774,4.572,2,12.911328,-2.313432,2000,47.048928,3.64,us-101,1117685934401,Car,42.019728,Car,Car-Car
175620,242,1118847080400,21.352,1782.966,6452429.659,1872166.307,5.486400000000001,2,16.346424000000003,0.801624,234,89.73312,5.49,us-101,1117684061301,Car,85.46592,Car,Car-Car
177389,242,1118848013200,53.717,1905.49,6452470.33,1872088.081,5.0292,2,14.1732,3.41376,239,39.782496,2.81,us-101,1117684994101,Car,34.753296,Car,Car-Car
179422,242,1118847061000,18.527,990.129,6451834.439,1872690.266,5.486400000000001,2,10.594848,0.10668,234,26.99004,2.55,us-101,1117684041901,Car,22.72284,Car,Car-Car
180796,250,1118847080900,22.046,1780.312,6452427.183,1872167.52,4.8768,2,17.699736,-0.8930640000000001,242,9.25068,0.52,us-101,1117684061801,Car,4.221480000000001,Car,Car-Car
182377,242,1118847046400,17.685,362.016,6451365.38,1873108.745,5.486400000000001,2,11.518392,3.2705040000000003,234,36.472368,3.17,us-101,1117684027301,Car,32.205168,Car,Car-Car
184500,250,1118847057300,21.35,794.522,6451685.301,1872817.056,4.8768,2,13.155168,2.749296,242,15.919704,1.21,us-101,1117684038201,Car,10.890504,Car,Car-Car
184668,242,1118848897700,52.173,912.994,6451727.797,1872738.621,4.572,2,10.689336,-0.143256,2000,13.926312,1.3,us-101,1117685878601,Car,8.897112,Car,Car-Car
186276,242,1118848900100,52.162,1008.319,6451799.982,1872675.651,4.572,2,7.260336000000001,-3.41376,2000,10.539984,1.45,us-101,1117685881001,Car,5.510784,Car,Car-Car
187901,248,1118848919700,53.077,1290.149,6452011.448,1872489.899,5.0292,2,6.9067680000000005,0.079248,242,17.330928,2.51,us-101,1117685900601,Car,12.301728,Car,Car-Car
189755,250,1118847053000,22.887,604.091,6451541.228,1872941.869,4.8768,2,14.103096000000004,-1.24968,242,12.118848,0.86,us-101,1117684033901,Car,7.089648,Car,Car-Car
191881,246,1118847998300,50.819,1116.906,6451878.442,1872609.115,4.4196,2,16.764,0.0,242,19.053048,1.14,us-101,1117684979201,Car,14.023848,Car,Car-Car
192316,242,1118848922000,52.712,1387.52,6452085.159,1872426.001,4.572,2,4.581144,0.024384,2000,14.566392,3.18,us-101,1117685902901,Car,9.537192,Car,Car-Car
192525,242,1118848892800,60.47,719.222,6451576.808,1872860.267,4.572,2,12.874752,0.0,0,0.0,0.0,us-101,1117685873701,,,Car,
193948,242,1118847065200,20.296,1132.072,6451940.31,1872595.7,5.486400000000001,2,9.329928,0.6858000000000001,234,33.296352,3.57,us-101,1117684046101,Car,29.029152,Car,Car-Car
194416,242,1118847066200,20.338,1166.385,6451966.088,1872573.174,5.486400000000001,2,10.954512,-0.277368,234,36.58819200000001,3.34,us-101,1117684047101,Car,32.320992000000004,Car,Car-Car
196139,242,1118847043800,17.438,268.211,6451297.626,1873174.208,5.486400000000001,2,10.719816000000002,1.533144,234,28.22448,2.63,us-101,1117684024701,Car,23.95728,Car,Car-Car
197655,248,1118848916700,51.661,1228.047,6451965.673,1872531.891,5.0292,2,6.096,0.0,242,17.61744,2.89,us-101,1117685897601,Car,12.58824,Car,Car-Car
197682,246,1118848010300,53.98,1703.245,6452317.32,1872221.499,4.4196,2,12.868656,-2.779776,242,23.277576000000003,1.81,us-101,1117684991201,Car,18.248376000000004,Car,Car-Car
199233,250,1118847073100,22.329,1392.876,6452135.369,1872422.587,4.8768,2,13.435584,2.0817840000000003,242,11.305032000000002,0.84,us-101,1117684054001,Car,6.275832000000002,Car,Car-Car
199781,242,1118848003400,54.217,1474.272,6452145.225,1872371.667,5.0292,2,14.871192,-3.41376,239,24.091392000000003,1.62,us-101,1117684984301,Car,19.062192000000003,Car,Car-Car
200157,242,1118848897100,53.148,892.134,6451711.5,1872751.659,4.572,2,10.387584,0.56388,2000,13.984224,1.35,us-101,1117685878001,Car,8.955024000000002,Car,Car-Car
201993,246,1118848004300,54.605,1430.985,6452112.566,1872399.645,4.4196,2,14.987016,-1.6611600000000002,242,25.700736,1.71,us-101,1117684985201,Car,20.671536,Car,Car-Car
203359,250,1118847049300,19.851,442.548,6451423.137,1873052.572,4.8768,2,12.094464,-1.898904,242,10.753344,0.89,us-101,1117684030201,Car,5.724144,Car,Car-Car
203815,242,1118848952600,51.69,1969.622,6452525.055,1872043.865,4.572,2,13.088112,3.41376,2000,47.399448,3.62,us-101,1117685933501,Car,42.370248,Car,Car-Car
206914,242,1118848000700,56.64,1328.08,6452033.482,1872465.855,5.0292,2,18.007584,-2.9138880000000005,239,24.515064,1.36,us-101,1117684981601,Car,19.485864000000003,Car,Car-Car
207464,248,1118848927100,54.258,1401.515,6452094.702,1872415.648,5.0292,2,1.514856,0.018288,242,10.140696000000002,6.69,us-101,1117685908001,Car,5.111496000000002,Car,Car-Car
208225,242,1118848952000,52.272,1945.469,6452506.273,1872059.032,4.572,2,12.231624000000002,-0.8382000000000001,2000,46.85080800000001,3.83,us-101,1117685932901,Car,41.821608000000005,Car,Car-Car
210859,248,1118848926600,54.249,1398.697,6452092.581,1872417.506,5.0292,2,2.002536,-0.48768,242,9.906,4.95,us-101,1117685907501,Car,4.8768,Car,Car-Car
211691,246,1118848016700,55.104,1980.491,6452526.993,1872037.745,4.4196,2,13.490448,-1.496568,242,25.362408,1.88,us-101,1117684997601,Car,20.333208,Car,Car-Car
212424,242,1118848914100,51.044,1232.01,6451969.06,1872529.744,4.572,2,6.169152,-0.024384,2000,23.823168,3.86,us-101,1117685895001,Car,18.793968,Car,Car-Car
212987,242,1118848930100,52.335,1457.965,6452138.489,1872380.097,4.572,2,2.615184,0.664464,2000,16.163544,6.18,us-101,1117685911001,Car,11.134344000000002,Car,Car-Car
215195,242,1118848916000,51.57,1271.292,6451998.258,1872503.46,4.572,2,6.336792,0.0,2000,24.298656,3.83,us-101,1117685896901,Car,19.269456,Car,Car-Car
216034,242,1118848002300,53.936,1418.331,6452103.449,1872408.464,5.0292,2,15.6972,0.094488,239,23.9268,1.52,us-101,1117684983201,Car,18.8976,Car,Car-Car
216359,250,1118847042000,18.265,169.454,6451227.226,1873244.611,4.8768,2,9.336024,3.41376,242,11.942064,1.28,us-101,1117684022901,Car,6.912864,Car,Car-Car
219715,250,1118847044500,18.485,256.138,6451288.233,1873181.831,4.8768,2,10.887456,-1.383792,242,11.484864,1.05,us-101,1117684025401,Car,6.455664,Car,Car-Car
